Version,BR,BC,Testcase,TotalTime_ms,IOTime_ms,CommuTime_ms,ComputeTime_ms
hw4_128_16,128,16,t01,44.167,37.445,6.139,0.584
hw4_128_16,128,16,t02,15.207,12.085,2.019,1.102
hw4_128_16,128,16,t03,21.787,18.488,2.207,1.092
hw4_128_16,128,16,t04,18.611,14.310,2.178,2.123
hw4_128_16,128,16,t05,21.547,17.064,2.367,2.116
hw4_128_16,128,16,t06,28.124,21.525,2.466,4.132
hw4_128_16,128,16,t07,27.784,21.223,2.407,4.154
hw4_128_16,128,16,t08,34.190,22.233,3.766,8.191
hw4_128_16,128,16,t09,34.539,22.436,3.842,8.261
hw4_128_16,128,16,t10,42.661,22.334,3.999,16.328
hw4_128_16,128,16,t11,838.021,817.478,17.610,2.933
hw4_128_16,128,16,t12,1234.965,1195.998,28.226,10.741
hw4_128_16,128,16,t13,401.402,389.224,6.650,5.528
hw4_128_16,128,16,t14,444.873,426.125,8.337,10.411
hw4_128_16,128,16,t15,417.426,401.569,9.262,6.595
hw4_128_16,128,16,t16,768.833,732.463,19.979,16.392
hw4_128_16,128,16,t17,278.362,260.526,5.205,12.631
hw4_128_16,128,16,t18,397.203,363.043,9.806,24.354
hw4_128_16,128,16,t19,243.854,221.102,5.628,17.124
hw4_128_16,128,16,t20,289.944,249.481,8.084,32.379
hw4_128_16,128,16,t21,466.861,433.537,7.622,25.702
hw4_128_16,128,16,t22,928.029,765.205,17.573,145.251
hw4_128_16,128,16,t23,260.512,221.368,6.286,32.858
hw4_128_16,128,16,t24,484.467,347.446,7.989,129.032
hw4_128_16,128,16,t25,205.996,166.772,5.942,33.282
hw4_128_16,128,16,t26,183.106,112.182,6.252,64.672
hw4_128_16,128,16,t27,261.028,189.058,5.592,66.379
hw4_128_16,128,16,t28,389.670,122.134,8.031,259.505
hw4_128_16,128,16,t29,320.600,177.496,9.300,133.804
hw4_128_16,128,16,t30,891.565,105.709,9.966,775.890
hw4_128_32,128,32,t01,28.560,25.446,2.548,0.566
hw4_128_32,128,32,t02,23.401,19.972,2.370,1.059
hw4_128_32,128,32,t03,24.158,20.563,2.558,1.037
hw4_128_32,128,32,t04,22.638,18.017,2.597,2.024
hw4_128_32,128,32,t05,22.834,18.187,2.629,2.017
hw4_128_32,128,32,t06,26.349,19.777,2.616,3.956
hw4_128_32,128,32,t07,28.963,22.356,2.647,3.960
hw4_128_32,128,32,t08,49.553,36.826,4.897,7.830
hw4_128_32,128,32,t09,28.807,18.367,2.569,7.870
hw4_128_32,128,32,t10,58.556,38.000,4.998,15.558
hw4_128_32,128,32,t11,452.251,440.621,7.420,4.210
hw4_128_32,128,32,t12,1287.996,1249.597,28.131,10.269
hw4_128_32,128,32,t13,940.705,913.863,19.663,7.179
hw4_128_32,128,32,t14,301.809,286.387,5.454,9.968
hw4_128_32,128,32,t15,318.550,302.971,5.651,9.928
hw4_128_32,128,32,t16,250.752,229.899,5.215,15.638
hw4_128_32,128,32,t17,511.830,484.159,11.945,15.726
hw4_128_32,128,32,t18,199.817,171.883,4.574,23.359
hw4_128_32,128,32,t19,391.356,357.853,9.875,23.628
hw4_128_32,128,32,t20,176.695,141.743,4.010,30.942
hw4_128_32,128,32,t21,605.157,551.923,14.067,39.167
hw4_128_32,128,32,t22,1195.865,1032.968,23.579,139.318
hw4_128_32,128,32,t23,160.002,124.083,4.327,31.591
hw4_128_32,128,32,t24,621.106,485.808,11.575,123.723
hw4_128_32,128,32,t25,115.605,80.134,3.693,31.778
hw4_128_32,128,32,t26,205.294,138.363,5.087,61.844
hw4_128_32,128,32,t27,123.312,57.689,3.369,62.254
hw4_128_32,128,32,t28,346.598,91.111,7.431,248.056
hw4_128_32,128,32,t29,297.594,43.098,4.079,250.417
hw4_128_32,128,32,t30,789.171,40.979,5.396,742.797
hw4_128_8,128,8,t01,58.961,53.362,5.123,0.476
hw4_128_8,128,8,t02,23.105,19.580,2.622,0.903
hw4_128_8,128,8,t03,48.943,42.841,5.204,0.898
hw4_128_8,128,8,t04,20.402,16.102,2.586,1.714
hw4_128_8,128,8,t05,21.961,17.619,2.643,1.700
hw4_128_8,128,8,t06,68.040,59.473,5.233,3.334
hw4_128_8,128,8,t07,22.952,17.040,2.583,3.329
hw4_128_8,128,8,t08,62.114,50.382,5.219,6.513
hw4_128_8,128,8,t09,25.036,15.885,2.557,6.594
hw4_128_8,128,8,t10,57.551,39.965,4.625,12.961
hw4_128_8,128,8,t11,741.042,728.034,10.500,2.508
hw4_128_8,128,8,t12,1062.278,1008.108,45.549,8.621
hw4_128_8,128,8,t13,1352.808,1321.205,27.023,4.580
hw4_128_8,128,8,t14,965.616,935.302,22.112,8.202
hw4_128_8,128,8,t15,499.892,467.396,26.968,5.527
hw4_128_8,128,8,t16,536.673,511.337,12.434,12.902
hw4_128_8,128,8,t17,455.243,437.015,7.868,10.360
hw4_128_8,128,8,t18,634.672,599.857,15.614,19.201
hw4_128_8,128,8,t19,568.640,537.598,16.988,14.054
hw4_128_8,128,8,t20,426.960,390.214,11.193,25.552
hw4_128_8,128,8,t21,405.986,376.936,7.711,21.340
hw4_128_8,128,8,t22,950.882,816.820,20.157,113.906
hw4_128_8,128,8,t23,275.123,240.383,7.979,26.762
hw4_128_8,128,8,t24,357.147,249.341,6.132,101.674
hw4_128_8,128,8,t25,253.128,218.863,7.517,26.748
hw4_128_8,128,8,t26,112.472,57.967,3.204,51.301
hw4_128_8,128,8,t27,265.311,205.527,6.154,53.630
hw4_128_8,128,8,t28,250.107,42.558,3.979,203.570
hw4_128_8,128,8,t29,155.517,42.965,3.642,108.910
hw4_128_8,128,8,t30,760.603,141.075,12.883,606.645
hw4_64_16,64,16,t01,93.439,87.540,5.307,0.593
hw4_64_16,64,16,t02,30.780,27.006,2.644,1.129
hw4_64_16,64,16,t03,39.178,33.185,4.876,1.117
hw4_64_16,64,16,t04,22.903,17.956,2.773,2.175
hw4_64_16,64,16,t05,42.711,35.447,5.101,2.163
hw4_64_16,64,16,t06,23.938,17.188,2.583,4.167
hw4_64_16,64,16,t07,46.507,37.038,5.283,4.186
hw4_64_16,64,16,t08,26.650,15.835,2.569,8.246
hw4_64_16,64,16,t09,57.947,44.656,4.982,8.309
hw4_64_16,64,16,t10,33.258,14.385,2.460,16.413
hw4_64_16,64,16,t11,1003.945,979.613,20.910,3.422
hw4_64_16,64,16,t12,581.496,560.702,9.815,10.980
hw4_64_16,64,16,t13,898.110,873.884,17.694,6.532
hw4_64_16,64,16,t14,264.191,248.714,4.924,10.553
hw4_64_16,64,16,t15,574.037,551.794,13.755,8.488
hw4_64_16,64,16,t16,202.415,180.750,5.031,16.633
hw4_64_16,64,16,t17,457.583,432.713,12.206,12.663
hw4_64_16,64,16,t18,202.615,173.400,4.550,24.665
hw4_64_16,64,16,t19,200.678,178.605,4.626,17.447
hw4_64_16,64,16,t20,140.106,103.222,4.001,32.883
hw4_64_16,64,16,t21,319.319,279.651,6.113,33.554
hw4_64_16,64,16,t22,630.816,472.846,11.885,146.085
hw4_64_16,64,16,t23,182.026,144.415,4.114,33.497
hw4_64_16,64,16,t24,348.478,212.369,6.301,129.808
hw4_64_16,64,16,t25,99.138,62.789,3.250,33.098
hw4_64_16,64,16,t26,118.682,49.914,3.491,65.277
hw4_64_16,64,16,t27,184.595,112.992,5.853,65.750
hw4_64_16,64,16,t28,310.057,43.803,4.112,262.142
hw4_64_16,64,16,t29,211.143,67.541,6.917,136.685
hw4_64_16,64,16,t30,887.965,89.847,10.104,788.014
hw4_64_32,64,32,t01,20.059,16.931,2.564,0.564
hw4_64_32,64,32,t02,47.745,41.385,5.274,1.086
hw4_64_32,64,32,t03,14.396,11.152,2.177,1.068
hw4_64_32,64,32,t04,31.741,25.471,4.188,2.082
hw4_64_32,64,32,t05,18.871,14.309,2.491,2.071
hw4_64_32,64,32,t06,43.283,34.123,5.185,3.975
hw4_64_32,64,32,t07,22.140,15.508,2.650,3.982
hw4_64_32,64,32,t08,36.608,24.551,4.197,7.860
hw4_64_32,64,32,t09,25.711,15.254,2.553,7.904
hw4_64_32,64,32,t10,28.905,10.826,2.458,15.621
hw4_64_32,64,32,t11,449.461,436.826,7.353,5.282
hw4_64_32,64,32,t12,551.292,520.277,10.256,20.760
hw4_64_32,64,32,t13,389.061,372.896,6.869,9.296
hw4_64_32,64,32,t14,265.865,242.009,5.897,17.960
hw4_64_32,64,32,t15,249.648,232.160,5.401,12.087
hw4_64_32,64,32,t16,417.328,379.350,10.438,27.540
hw4_64_32,64,32,t17,215.487,190.280,5.314,19.893
hw4_64_32,64,32,t18,404.621,355.657,9.919,39.045
hw4_64_32,64,32,t19,178.298,142.115,4.532,31.651
hw4_64_32,64,32,t20,319.298,249.331,8.032,61.934
hw4_64_32,64,32,t21,274.020,220.988,5.748,47.284
hw4_64_32,64,32,t22,1323.105,1036.421,23.695,262.989
hw4_64_32,64,32,t23,147.625,96.578,4.017,47.029
hw4_64_32,64,32,t24,651.351,423.119,11.898,216.333
hw4_64_32,64,32,t25,125.102,59.133,3.242,62.727
hw4_64_32,64,32,t26,226.854,96.837,5.729,124.288
hw4_64_32,64,32,t27,105.556,39.818,2.956,62.783
hw4_64_32,64,32,t28,409.087,32.597,3.934,372.556
hw4_64_32,64,32,t29,328.998,65.629,6.896,256.473
hw4_64_32,64,32,t30,1266.416,30.454,5.129,1230.833
hw4_64_64,64,64,t01,14.487,11.594,2.458,0.436
hw4_64_64,64,64,t02,31.305,26.065,4.420,0.820
hw4_64_64,64,64,t03,14.492,11.255,2.433,0.804
hw4_64_64,64,64,t04,29.176,23.188,4.433,1.555
hw4_64_64,64,64,t05,15.191,11.108,2.535,1.548
hw4_64_64,64,64,t06,29.108,21.766,4.400,2.942
hw4_64_64,64,64,t07,16.507,11.114,2.446,2.947
hw4_64_64,64,64,t08,32.649,22.517,4.359,5.773
hw4_64_64,64,64,t09,19.362,11.144,2.399,5.819
hw4_64_64,64,64,t10,47.746,31.663,4.607,11.476
hw4_64_64,64,64,t11,386.141,372.716,7.519,5.906
hw4_64_64,64,64,t12,1307.953,1264.568,27.869,15.517
hw4_64_64,64,64,t13,375.142,357.460,7.024,10.658
hw4_64_64,64,64,t14,633.261,606.037,13.782,13.441
hw4_64_64,64,64,t15,259.677,240.449,5.803,13.425
hw4_64_64,64,64,t16,437.497,404.994,11.991,20.512
hw4_64_64,64,64,t17,233.673,207.430,5.655,20.588
hw4_64_64,64,64,t18,345.946,307.542,9.564,28.840
hw4_64_64,64,64,t19,173.571,139.854,4.598,29.119
hw4_64_64,64,64,t20,261.649,207.679,8.406,45.564
hw4_64_64,64,64,t21,605.668,539.230,13.916,52.522
hw4_64_64,64,64,t22,1154.219,936.117,24.213,193.889
hw4_64_64,64,64,t23,329.036,274.538,8.061,46.438
hw4_64_64,64,64,t24,342.481,178.282,5.894,158.305
hw4_64_64,64,64,t25,203.943,151.440,6.041,46.462
hw4_64_64,64,64,t26,137.631,43.211,2.661,91.759
hw4_64_64,64,64,t27,178.395,81.037,5.129,92.229
hw4_64_64,64,64,t28,311.542,32.460,3.776,275.307
hw4_64_64,64,64,t29,354.629,68.630,6.835,279.164
hw4_64_64,64,64,t30,944.135,29.719,4.518,909.898
hw4_64_8,64,8,t01,32.590,27.572,4.376,0.642
hw4_64_8,64,8,t02,20.051,16.609,2.223,1.220
hw4_64_8,64,8,t03,29.997,24.240,4.547,1.210
hw4_64_8,64,8,t04,15.665,11.227,2.085,2.353
hw4_64_8,64,8,t05,30.421,23.648,4.425,2.348
hw4_64_8,64,8,t06,17.320,10.594,2.096,4.629
hw4_64_8,64,8,t07,35.694,26.371,4.743,4.581
hw4_64_8,64,8,t08,37.455,23.534,4.861,9.060
hw4_64_8,64,8,t09,22.019,10.970,1.944,9.105
hw4_64_8,64,8,t10,46.650,23.930,4.683,18.037
hw4_64_8,64,8,t11,369.123,358.819,7.068,3.236
hw4_64_8,64,8,t12,1164.921,1128.211,28.159,8.551
hw4_64_8,64,8,t13,837.577,815.391,16.117,6.068
hw4_64_8,64,8,t14,286.852,274.214,5.542,7.096
hw4_64_8,64,8,t15,291.109,278.366,5.403,7.340
hw4_64_8,64,8,t16,432.805,407.259,11.756,13.790
hw4_64_8,64,8,t17,260.158,240.855,5.262,14.041
hw4_64_8,64,8,t18,355.654,327.307,10.113,18.234
hw4_64_8,64,8,t19,189.522,165.983,4.535,19.004
hw4_64_8,64,8,t20,244.248,199.933,8.349,35.966
hw4_64_8,64,8,t21,249.632,215.084,5.772,28.776
hw4_64_8,64,8,t22,1040.729,907.705,24.222,108.802
hw4_64_8,64,8,t23,160.203,119.391,4.151,36.661
hw4_64_8,64,8,t24,293.037,179.547,5.657,107.833
hw4_64_8,64,8,t25,197.655,156.849,4.848,35.957
hw4_64_8,64,8,t26,127.203,51.474,4.158,71.570
hw4_64_8,64,8,t27,155.611,78.148,5.610,71.853
hw4_64_8,64,8,t28,178.646,32.367,3.589,142.690
hw4_64_8,64,8,t29,181.577,29.274,3.525,148.778
hw4_64_8,64,8,t30,612.796,31.510,4.624,576.661