Version,BR,BC,GrandTotalTime_ms,GrandComputeTime_ms
hw4_128_16,128,16,41806.099,31313.580
hw4_128_8,128,8,42718.637,33785.186
hw4_16_16,16,16,46943.519,37354.015
hw4_16_32,16,32,48392.475,38471.198
hw4_16_64,16,64,67357.622,58931.376
hw4_16_8,16,8,48747.173,38884.604
hw4_32_16,32,16,44449.500,34735.557
hw4_32_32,32,32,42562.281,33504.272
hw4_32_64,32,64,60070.063,51223.986
hw4_32_8,32,8,42768.091,33243.588
hw4_64_16,64,16,41818.552,32582.178
hw4_64_32,64,32,41846.096,32619.856
hw4_64_64,64,64,41810.287,32423.365
hw4_64_8,64,8,43719.062,34002.637
hw4_8_16,8,16,56970.093,47244.256
hw4_8_32,8,32,58786.922,49372.843
hw4_8_64,8,64,88330.352,78924.243
hw4_8_8,8,8,56932.282,47100.093